time_center_iso,t_center_s,loc,R_660_940
2025-10-21T12:42:01.915,1.48,loc_1,0.5298275492539262
2025-10-21T12:42:01.915,1.48,loc_2,0.6376003783674319
2025-10-21T12:42:01.915,1.48,loc_3,0.99520533206508
2025-10-21T12:42:01.915,1.48,loc_4,0.9199443765204265
2025-10-21T12:42:01.915,1.48,loc_5,1.015924794969195
2025-10-21T12:42:01.915,1.48,loc_6,3.4709426374297045
2025-10-21T12:42:01.915,1.48,loc_7,1.1670098323319327
2025-10-21T12:42:01.915,1.48,loc_8,2.001628275986791
2025-10-21T12:42:01.915,1.48,loc_9,1.8095415733411473
2025-10-21T12:42:01.915,1.48,loc_10,0.8333442725515156
2025-10-21T12:42:01.915,1.48,loc_11,1.2489199195755827
2025-10-21T12:42:01.915,1.48,loc_12,1.4687577143511885
2025-10-21T12:42:02.850,2.48,loc_1,0.5247088076266296
2025-10-21T12:42:02.850,2.48,loc_2,0.64759594561002
2025-10-21T12:42:02.850,2.48,loc_3,1.0129375778118062
2025-10-21T12:42:02.850,2.48,loc_4,0.9335135320109443
2025-10-21T12:42:02.850,2.48,loc_5,1.0017314078038366
2025-10-21T12:42:02.850,2.48,loc_6,3.0393117023908833
2025-10-21T12:42:02.850,2.48,loc_7,1.1759459524681064
2025-10-21T12:42:02.850,2.48,loc_8,1.7972711368698537
2025-10-21T12:42:02.850,2.48,loc_9,1.949429957226127
2025-10-21T12:42:02.850,2.48,loc_10,0.7852405524506715
2025-10-21T12:42:02.850,2.48,loc_11,1.221198547213251
2025-10-21T12:42:02.850,2.48,loc_12,1.4771697961736394
2025-10-21T12:42:03.570,3.48,loc_1,0.5220693712897143
2025-10-21T12:42:03.570,3.48,loc_2,0.6693070964176377
2025-10-21T12:42:03.570,3.48,loc_3,1.0156591899448042
2025-10-21T12:42:03.570,3.48,loc_4,1.0063711244990377
2025-10-21T12:42:03.570,3.48,loc_5,1.0349629512010838
2025-10-21T12:42:03.570,3.48,loc_6,3.16735615772178
2025-10-21T12:42:03.570,3.48,loc_7,1.0982455844913734
2025-10-21T12:42:03.570,3.48,loc_8,1.7607857424127702
2025-10-21T12:42:03.570,3.48,loc_9,1.676941337535205
2025-10-21T12:42:03.570,3.48,loc_10,0.8059328970209104
2025-10-21T12:42:03.570,3.48,loc_11,1.161856301246444
2025-10-21T12:42:03.570,3.48,loc_12,1.3205691235399344
2025-10-21T12:42:04.436,4.48,loc_1,0.49922382255819986
2025-10-21T12:42:04.436,4.48,loc_2,0.711379521510315
2025-10-21T12:42:04.436,4.48,loc_3,0.9721315823604676
2025-10-21T12:42:04.436,4.48,loc_4,0.9410457010632204
2025-10-21T12:42:04.436,4.48,loc_5,1.036558015668394
2025-10-21T12:42:04.436,4.48,loc_6,3.3897028065472603
2025-10-21T12:42:04.436,4.48,loc_7,1.6470284003344113
2025-10-21T12:42:04.436,4.48,loc_8,2.1505164787296693
2025-10-21T12:42:04.436,4.48,loc_9,2.200909323644481
2025-10-21T12:42:04.436,4.48,loc_10,0.7796361786016003
2025-10-21T12:42:04.436,4.48,loc_11,1.243097677721259
2025-10-21T12:42:04.436,4.48,loc_12,1.3872318357116358
2025-10-21T12:42:05.246,5.48,loc_1,0.4614889535591256
2025-10-21T12:42:05.246,5.48,loc_2,0.6646525596628704
2025-10-21T12:42:05.246,5.48,loc_3,0.9848230555975432
2025-10-21T12:42:05.246,5.48,loc_4,0.9409970851890445
2025-10-21T12:42:05.246,5.48,loc_5,1.0505229754728886
2025-10-21T12:42:05.246,5.48,loc_6,3.3904511924248886
2025-10-21T12:42:05.246,5.48,loc_7,2.1532069370183917
2025-10-21T12:42:05.246,5.48,loc_8,2.161784364801367
2025-10-21T12:42:05.246,5.48,loc_9,2.035166587949506
2025-10-21T12:42:05.246,5.48,loc_10,0.8294873805124588
2025-10-21T12:42:05.246,5.48,loc_11,1.3060413176530987
2025-10-21T12:42:05.246,5.48,loc_12,1.3867513788708044
2025-10-21T12:42:06.119,6.48,loc_1,0.44486265707807743
2025-10-21T12:42:06.119,6.48,loc_2,0.6882437052549829
2025-10-21T12:42:06.119,6.48,loc_3,0.9805154228146742
2025-10-21T12:42:06.119,6.48,loc_4,0.9338056473241931
2025-10-21T12:42:06.119,6.48,loc_5,1.054796416384721
2025-10-21T12:42:06.119,6.48,loc_6,3.50927552782452
2025-10-21T12:42:06.119,6.48,loc_7,1.3734337871593936
2025-10-21T12:42:06.119,6.48,loc_8,2.1246990351168975
2025-10-21T12:42:06.119,6.48,loc_9,2.133038496293508
2025-10-21T12:42:06.119,6.48,loc_10,0.8909141103495912
2025-10-21T12:42:06.119,6.48,loc_11,1.1949065204678666
2025-10-21T12:42:06.119,6.48,loc_12,1.3512133079608561
2025-10-21T12:42:06.951,7.48,loc_1,0.43237684173989094
2025-10-21T12:42:06.951,7.48,loc_2,0.7311781045996872
2025-10-21T12:42:06.951,7.48,loc_3,1.0037309272412618
2025-10-21T12:42:06.951,7.48,loc_4,0.9408028023504431
2025-10-21T12:42:06.951,7.48,loc_5,1.0747040601188331
2025-10-21T12:42:06.951,7.48,loc_6,3.318156236151131
2025-10-21T12:42:06.951,7.48,loc_7,1.417042812921134
2025-10-21T12:42:06.951,7.48,loc_8,2.4357880596479338
2025-10-21T12:42:06.951,7.48,loc_9,2.2867089258333033
2025-10-21T12:42:06.951,7.48,loc_10,0.9358540642901847
2025-10-21T12:42:06.951,7.48,loc_11,1.1662471562747276
2025-10-21T12:42:06.951,7.48,loc_12,1.4800138200779138
2025-10-21T12:42:07.796,8.48,loc_1,0.39790251830826867
2025-10-21T12:42:07.796,8.48,loc_2,0.771788538696903
2025-10-21T12:42:07.796,8.48,loc_3,1.0162059674227115
2025-10-21T12:42:07.796,8.48,loc_4,0.9629470513774068
2025-10-21T12:42:07.796,8.48,loc_5,1.035356988351822
2025-10-21T12:42:07.796,8.48,loc_6,3.324686462120365
2025-10-21T12:42:07.796,8.48,loc_7,2.0633053994656954
2025-10-21T12:42:07.796,8.48,loc_8,2.6060211789623646
2025-10-21T12:42:07.796,8.48,loc_9,2.294237552567887
2025-10-21T12:42:07.796,8.48,loc_10,0.8933030661840344
2025-10-21T12:42:07.796,8.48,loc_11,1.1630824615674358
2025-10-21T12:42:07.796,8.48,loc_12,1.5576774245477605
2025-10-21T12:42:08.602,9.48,loc_1,0.40000295501992156
2025-10-21T12:42:08.602,9.48,loc_2,0.7340404239146471
2025-10-21T12:42:08.602,9.48,loc_3,1.0086225586722999
2025-10-21T12:42:08.602,9.48,loc_4,0.9850634701870037
2025-10-21T12:42:08.602,9.48,loc_5,1.0329488270125344
2025-10-21T12:42:08.602,9.48,loc_6,3.2560258552471177
2025-10-21T12:42:08.602,9.48,loc_7,2.343981846488664
2025-10-21T12:42:08.602,9.48,loc_8,2.3340821788238864
2025-10-21T12:42:08.602,9.48,loc_9,2.2447033092205126
2025-10-21T12:42:08.602,9.48,loc_10,0.9604786657966253
2025-10-21T12:42:08.602,9.48,loc_11,1.129374697180737
2025-10-21T12:42:08.602,9.48,loc_12,1.5785118601382413
2025-10-21T12:42:09.482,10.48,loc_1,0.39801115256827163
2025-10-21T12:42:09.482,10.48,loc_2,0.7642680013289639
2025-10-21T12:42:09.482,10.48,loc_3,1.0733321819021655
2025-10-21T12:42:09.482,10.48,loc_4,1.0049282994881472
2025-10-21T12:42:09.482,10.48,loc_5,1.068581082281061
2025-10-21T12:42:09.482,10.48,loc_6,2.7825255049616415
2025-10-21T12:42:09.482,10.48,loc_7,1.9441917032858027
2025-10-21T12:42:09.482,10.48,loc_8,2.2958865749196185
2025-10-21T12:42:09.482,10.48,loc_9,1.9214205085016274
2025-10-21T12:42:09.482,10.48,loc_10,0.8240179052243474
2025-10-21T12:42:09.482,10.48,loc_11,1.1869488901955927
2025-10-21T12:42:09.482,10.48,loc_12,1.4562192524358217
2025-10-21T12:42:10.251,11.48,loc_1,0.42005296202741965
2025-10-21T12:42:10.251,11.48,loc_2,0.7277999150730446
2025-10-21T12:42:10.251,11.48,loc_3,0.9882971286116772
2025-10-21T12:42:10.251,11.48,loc_4,1.0222531513320716
2025-10-21T12:42:10.251,11.48,loc_5,1.0700193652528183
2025-10-21T12:42:10.251,11.48,loc_6,2.9484000262214813
2025-10-21T12:42:10.251,11.48,loc_7,1.911613715983668
2025-10-21T12:42:10.251,11.48,loc_8,2.4019834891386935
2025-10-21T12:42:10.251,11.48,loc_9,1.9416554013398193
2025-10-21T12:42:10.251,11.48,loc_10,0.9014150702902453
2025-10-21T12:42:10.251,11.48,loc_11,1.1287309443615006
2025-10-21T12:42:10.251,11.48,loc_12,1.4232881359276424
2025-10-21T12:42:11.095,12.48,loc_1,0.4397196417094791
2025-10-21T12:42:11.095,12.48,loc_2,0.7041529843753798
2025-10-21T12:42:11.095,12.48,loc_3,1.0357373538633128
2025-10-21T12:42:11.095,12.48,loc_4,0.9724503741019875
2025-10-21T12:42:11.095,12.48,loc_5,1.0906269213202153
2025-10-21T12:42:11.095,12.48,loc_6,3.3134614020126274
2025-10-21T12:42:11.095,12.48,loc_7,1.7002703147456948
2025-10-21T12:42:11.095,12.48,loc_8,2.1970038501546387
2025-10-21T12:42:11.095,12.48,loc_9,1.9335178638720263
2025-10-21T12:42:11.095,12.48,loc_10,0.8711165462378921
2025-10-21T12:42:11.095,12.48,loc_11,1.2402676544637938
2025-10-21T12:42:11.095,12.48,loc_12,1.427111531198058
2025-10-21T12:42:11.905,13.48,loc_1,0.4136146848298513
2025-10-21T12:42:11.905,13.48,loc_2,0.7318866739962827
2025-10-21T12:42:11.905,13.48,loc_3,1.0015848521214392
2025-10-21T12:42:11.905,13.48,loc_4,0.9404837315168368
2025-10-21T12:42:11.905,13.48,loc_5,1.0958210265156085
2025-10-21T12:42:11.905,13.48,loc_6,3.3471780394695436
2025-10-21T12:42:11.905,13.48,loc_7,1.7874311136875967
2025-10-21T12:42:11.905,13.48,loc_8,2.134522682214946
2025-10-21T12:42:11.905,13.48,loc_9,1.9299014242437236
2025-10-21T12:42:11.905,13.48,loc_10,0.8464372203408439
2025-10-21T12:42:11.905,13.48,loc_11,1.236797468384487
2025-10-21T12:42:11.905,13.48,loc_12,1.4178812679822193
2025-10-21T12:42:12.777,14.48,loc_1,0.42069803980227094
2025-10-21T12:42:12.777,14.48,loc_2,0.6917661558424083
2025-10-21T12:42:12.777,14.48,loc_3,1.0448630097723282
2025-10-21T12:42:12.777,14.48,loc_4,0.920993192739513
2025-10-21T12:42:12.777,14.48,loc_5,1.0817234436717065
2025-10-21T12:42:12.777,14.48,loc_6,3.1786982523366363
2025-10-21T12:42:12.777,14.48,loc_7,1.7435472145611437
2025-10-21T12:42:12.777,14.48,loc_8,2.0123144042356325
2025-10-21T12:42:12.777,14.48,loc_9,1.7365286197328287
2025-10-21T12:42:12.777,14.48,loc_10,0.8481549824059259
2025-10-21T12:42:12.777,14.48,loc_11,1.3404983781670987
2025-10-21T12:42:12.777,14.48,loc_12,1.3041817834426601
2025-10-21T12:42:13.584,15.48,loc_1,0.39192205441574596
2025-10-21T12:42:13.584,15.48,loc_2,0.7051268448876358
2025-10-21T12:42:13.584,15.48,loc_3,0.9980201983934752
2025-10-21T12:42:13.584,15.48,loc_4,0.9766952045219534
2025-10-21T12:42:13.584,15.48,loc_5,1.0369066354621463
2025-10-21T12:42:13.584,15.48,loc_6,3.107427484264483
2025-10-21T12:42:13.584,15.48,loc_7,1.8723486354146195
2025-10-21T12:42:13.584,15.48,loc_8,1.9192753331653492
2025-10-21T12:42:13.584,15.48,loc_9,1.7625484308463155
2025-10-21T12:42:13.584,15.48,loc_10,0.9053604540638668
2025-10-21T12:42:13.584,15.48,loc_11,1.276931051222789
2025-10-21T12:42:13.584,15.48,loc_12,1.4766868489353007
2025-10-21T12:42:14.493,16.48,loc_1,0.5576537804294247
2025-10-21T12:42:14.493,16.48,loc_2,0.7345793903716531
2025-10-21T12:42:14.493,16.48,loc_3,1.0541856831515823
2025-10-21T12:42:14.493,16.48,loc_4,1.0126378309073818
