t_center_s,R_art,R_vein,rho_hat,Sa_est,Sv_est,Sa_pct,Sv_pct
1.48,1.8095415733411473,0.9199443765204265,5.765734588329153,0.9800000000000002,1.0,98.00000000000001,100.0
2.48,1.949429957226127,0.9335135320109443,5.988597468451288,0.9754305933240431,1.0,97.54305933240431,100.0
3.48,1.676941337535205,1.0063711244990377,6.211460348573423,0.9973256407867102,1.0,99.73256407867102,100.0
4.48,2.200909323644481,0.9410457010632204,6.484642608948819,0.9700238504097193,1.0,97.00238504097193,100.0
5.48,2.035166587949506,0.9409970851890445,6.796491452588738,0.9856588389425365,1.0,98.56588389425364,100.0
6.48,2.133038496293508,0.9338056473241931,7.0127479799662655,0.9838001483323113,1.0,98.38001483323113,100.0
7.48,2.2867089258333033,0.9408028023504431,7.152288569205276,0.9777000281167401,1.0,97.770002811674,100.0
8.48,2.294237552567887,0.9629470513774068,7.152288569205276,0.9772882898095018,1.0,97.72882898095018,100.0
9.48,2.2447033092205126,0.9850634701870037,7.152288569205276,0.9800000000000001,1.0,98.00000000000001,100.0
10.48,1.9214205085016274,1.0049282994881472,6.186688314350514,0.9812828503330578,1.0,98.12828503330579,100.0
11.48,1.9416554013398193,1.0222531513320716,6.160759713464463,0.9794823289185881,1.0,97.94823289185881,100.0
12.48,1.9335178638720263,0.9724503741019875,6.14923666731913,0.9797694797239057,1.0,97.97694797239058,100.0
13.48,1.9299014242437236,0.9404837315168368,6.14923666731913,0.98,1.0,98.0,100.0
14.48,1.7365286197328287,0.920993192739513,5.798850505635151,0.9856520910054521,1.0,98.56520910054522,100.0
15.48,1.7625484308463155,0.9766952045219534,5.798850505635151,0.9838858730090874,1.0,98.38858730090874,100.0
16.48,1.81993480740118,1.0126378309073818,5.798850505635151,0.9800000000000001,1.0,98.00000000000001,100.0
17.48,1.8610493282451739,0.989931232941042,5.9298535278398825,0.98,1.0,98.0,100.0
18.48,1.9986535746280214,1.0060001606357243,6.233740499593919,0.9773473631345829,1.0,97.7347363134583,100.0
19.48,1.956422450361957,0.9970769696485076,6.368301350514457,0.9826024957210497,1.0,98.26024957210497,100.0
20.48,2.008168121654047,0.9795113314083208,6.368301350514457,0.97941447298682,1.0,97.94144729868201,100.0
21.48,2.050888456087632,0.991761954491656,6.398617511076023,0.9773857351322347,1.0,97.73857351322347,100.0
22.48,1.9664935019093543,0.9694579778915882,6.398617511076023,0.9825559817906805,1.0,98.25559817906804,100.0
23.48,2.030590615673745,0.9664751420216497,6.265829848135639,0.9759968697764407,1.0,97.59968697764407,100.0
24.48,1.7911165039793764,0.9827775386553934,5.878806998351231,0.9836005251067256,1.0,98.36005251067256,100.0
25.48,1.845028677993344,1.0076420691642265,5.878806998351231,0.9799999999999998,1.0,97.99999999999997,100.0
26.48,1.8062696234581987,1.0010895932153097,5.755309188388457,0.98,1.0,98.0,100.0
27.48,1.8755034293684048,1.0118318915291296,5.755309188388457,0.9752939438540821,1.0,97.52939438540821,100.0
28.48,1.653635684574353,1.005709776833853,5.728347444642362,0.9899083564934008,1.0,98.99083564934008,100.0
29.48,1.7978078402368403,1.0110258814817497,5.728347444642362,0.9799999999999998,1.0,97.99999999999997,100.0
30.48,1.766849489206817,1.0247681308509695,5.728347444642362,0.982120503594941,1.0,98.2120503594941,100.0
31.48,1.8352771922612552,1.0415700238230867,5.824998802123263,0.9795198742768199,1.0,97.95198742768198,100.0
32.48,1.8358730935136631,1.0310250293864913,5.8413409326940195,0.9798253343463774,1.0,97.98253343463774,100.0
33.48,1.828141295029498,1.0873902998886806,5.847735881002272,0.980478457229707,1.0,98.04784572297069,100.0
34.48,1.8332701756971257,1.0352004729847701,5.8413409326940195,0.9799999999999999,1.0,97.99999999999999,100.0
35.48,1.8388236394608826,0.9879002968074851,5.824998802123263,0.9792813322671875,1.0,97.92813322671876,100.0
36.48,1.819958187569331,0.9911779753240468,5.798925001765096,0.9799999999999998,1.0,97.99999999999997,100.0
37.48,1.7065691398839482,1.0394054741874281,5.437633963300482,0.98,1.0,98.0,100.0
38.48,1.68700486927543,0.989847500739401,5.375296411400702,0.98,1.0,98.0,100.0
39.48,1.5784034490088295,0.9932050607174662,5.090861048050044,0.9814896413467453,1.0,98.14896413467453,100.0
40.48,1.5840881243119003,0.9976976984190387,5.090861048050044,0.9810514296055743,1.0,98.10514296055743,100.0
41.48,1.597736518985209,1.0233582208024052,5.090861048050044,0.9799999999999999,1.0,97.99999999999999,100.0
42.48,1.7762002579870453,1.0250392603437977,5.659499297584996,0.9800000000000001,1.0,98.00000000000001,100.0
43.48,1.8573974869788492,1.0007718274106658,5.909346029925998,0.9798153128375765,1.0,97.98153128375765,100.0
44.48,1.8546131717638301,1.0042190580125367,5.909346029925998,0.9800000000000001,1.0,98.00000000000001,100.0
45.48,1.916221612663949,1.0216595857174127,5.909346029925998,0.9759203187351315,1.0,97.59203187351315,100.0
46.48,1.7872315289655036,1.0196139194584464,5.694648189199733,0.98,1.0,98.0,100.0
47.48,1.7538599026518435,0.9292218354927878,5.588316318774566,0.9800000000000001,1.0,98.00000000000001,100.0
48.48,1.7174225208413259,0.9493502734971767,5.588316318774566,0.9825588155082571,1.0,98.2558815508257,100.0
49.48,1.7383704356430218,0.9600207208945885,5.588316318774566,0.9810870563426723,1.0,98.10870563426724,100.0
50.48,1.8586422066441313,1.0038162447639447,5.922183726560976,0.9799999999999999,1.0,97.99999999999999,100.0
51.48,2.0751836169919953,0.9997689250934245,5.922183726560976,0.9657548349334776,1.0,96.57548349334776,100.0
52.48,1.9709209214919774,0.9927649039087623,5.922183726560976,0.9725917740719586,1.0,97.25917740719586,100.0
53.48,1.6379736008335766,1.003024373960238,5.737143715979948,0.9911633729002644,1.0,99.11633729002644,100.0
54.48,1.6906094977673818,0.9979577160040162,5.737143715979948,0.987537737752262,1.0,98.7537737752262,100.0
55.48,1.8005684977787204,0.9798001378147349,5.737143715979948,0.9799999999999999,1.0,97.99999999999999,100.0
56.48,1.9432248696266188,0.9920756714416583,5.781254164096342,0.9712985609460196,1.0,97.12985609460196,100.0
57.48,1.9010815616104075,0.9899545169118859,5.781254164096342,0.9741381729657987,1.0,97.41381729657988,100.0
58.48,1.8144123000666184,0.995083866870338,5.781341804912988,0.9800018650241491,1.0,98.0001865024149,100.0
59.48,1.7273229131524102,0.9999045398445481,5.781341804912988,0.9859221187376027,1.0,98.59221187376028,100.0
60.48,1.814439805616659,1.0711345317710714,5.781341804912988,0.9799999999999999,1.0,97.99999999999999,100.0
61.48,1.9001166663024527,0.989489952519504,5.781341804912988,0.9742052128431541,1.0,97.42052128431541,100.0
62.48,1.926246381659531,1.0258933350032706,5.781341804912988,0.9724436953581677,1.0,97.24436953581676,100.0
63.48,1.7294619015687216,0.9744875714953404,5.533610983748835,0.980512225995854,1.0,98.0512225995854,100.0
64.48,1.7366909580020167,0.969285112350435,5.533610983748835,0.9800000000000001,1.0,98.00000000000001,100.0
65.48,1.6583857675729272,0.9851680129088712,5.533610983748835,0.9855605475593952,1.0,98.55605475593951,100.0
66.48,1.860826854152063,0.9687411391190894,5.929144659586976,0.9800000000000001,1.0,98.00000000000001,100.0
67.48,1.9031954959350745,0.966227377780705,5.929144659586976,0.9772021845065254,1.0,97.72021845065254,100.0
68.48,1.9867001270727112,0.9751643981803992,5.929144659586976,0.9717077283711281,1.0,97.1707728371128,100.0
69.48,1.8406628235194205,0.985108200418551,5.989891962443097,0.982570191662422,1.0,98.2570191662422,100.0
70.48,1.834730400488031,1.0075330999952454,5.983096296148373,0.9828226438385546,1.0,98.28226438385545,100.0
71.48,1.8798920345384451,0.9997008028488638,5.983096296148373,0.9798602711305925,1.0,97.98602711305925,100.0
72.48,1.8777592550130486,1.0182629181097715,5.9891986142319,0.980125359142415,1.0,98.01253591424151,100.0
73.48,1.964387906194015,0.9965419087621453,5.9891986142319,0.9744685885516747,1.0,97.44685885516748,100.0
74.48,1.8796744313182927,1.0265499795001765,5.983096296148373,0.9798745266134141,1.0,97.98745266134141,100.0
75.48,1.823280797045056,0.9700177742680954,5.86196013513649,0.9811012903861842,1.0,98.11012903861842,100.0
76.48,1.8397413899816528,1.001682385868879,5.832805853185062,0.9793852257381238,1.0,97.93852257381238,100.0
77.48,1.830591491660144,0.9753866260631255,5.809511818149937,0.9795068048743991,1.0,97.95068048743991,100.0
78.48,1.794723136302195,0.9679266424466976,5.832805853185062,0.9824131226577906,1.0,98.24131226577906,100.0
79.48,1.8089961189522927,0.93687264955625,5.832805853185062,0.9814522731458117,1.0,98.14522731458118,100.0
80.48,1.9265111502824332,1.0430612043576297,6.138434251872862,0.98,1.0,98.0,100.0
