time_center_iso,t_center_s,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12
2025-10-21T12:42:01.915,1.48,0.5298275492539262,0.6376003783674319,0.99520533206508,0.9199443765204265,1.015924794969195,3.4709426374297045,1.1670098323319327,2.001628275986791,1.8095415733411473,0.8333442725515156,1.2489199195755827,1.4687577143511885
2025-10-21T12:42:02.850,2.48,0.5247088076266296,0.64759594561002,1.0129375778118062,0.9335135320109443,1.0017314078038366,3.0393117023908833,1.1759459524681064,1.7972711368698537,1.949429957226127,0.7852405524506715,1.221198547213251,1.4771697961736394
2025-10-21T12:42:03.570,3.48,0.5220693712897143,0.6693070964176377,1.0156591899448042,1.0063711244990377,1.0349629512010838,3.16735615772178,1.0982455844913734,1.7607857424127702,1.676941337535205,0.8059328970209104,1.161856301246444,1.3205691235399344
2025-10-21T12:42:04.436,4.48,0.49922382255819986,0.711379521510315,0.9721315823604676,0.9410457010632204,1.036558015668394,3.3897028065472603,1.6470284003344113,2.1505164787296693,2.200909323644481,0.7796361786016003,1.243097677721259,1.3872318357116358
2025-10-21T12:42:05.246,5.48,0.4614889535591256,0.6646525596628704,0.9848230555975432,0.9409970851890445,1.0505229754728886,3.3904511924248886,2.1532069370183917,2.161784364801367,2.035166587949506,0.8294873805124588,1.3060413176530987,1.3867513788708044
2025-10-21T12:42:06.119,6.48,0.44486265707807743,0.6882437052549829,0.9805154228146742,0.9338056473241931,1.054796416384721,3.50927552782452,1.3734337871593936,2.1246990351168975,2.133038496293508,0.8909141103495912,1.1949065204678666,1.3512133079608561
2025-10-21T12:42:06.951,7.48,0.43237684173989094,0.7311781045996872,1.0037309272412618,0.9408028023504431,1.0747040601188331,3.318156236151131,1.417042812921134,2.4357880596479338,2.2867089258333033,0.9358540642901847,1.1662471562747276,1.4800138200779138
2025-10-21T12:42:07.796,8.48,0.39790251830826867,0.771788538696903,1.0162059674227115,0.9629470513774068,1.035356988351822,3.324686462120365,2.0633053994656954,2.6060211789623646,2.294237552567887,0.8933030661840344,1.1630824615674358,1.5576774245477605
2025-10-21T12:42:08.602,9.48,0.40000295501992156,0.7340404239146471,1.0086225586722999,0.9850634701870037,1.0329488270125344,3.2560258552471177,2.343981846488664,2.3340821788238864,2.2447033092205126,0.9604786657966253,1.129374697180737,1.5785118601382413
2025-10-21T12:42:09.482,10.48,0.39801115256827163,0.7642680013289639,1.0733321819021655,1.0049282994881472,1.068581082281061,2.7825255049616415,1.9441917032858027,2.2958865749196185,1.9214205085016274,0.8240179052243474,1.1869488901955927,1.4562192524358217
2025-10-21T12:42:10.251,11.48,0.42005296202741965,0.7277999150730446,0.9882971286116772,1.0222531513320716,1.0700193652528183,2.9484000262214813,1.911613715983668,2.4019834891386935,1.9416554013398193,0.9014150702902453,1.1287309443615006,1.4232881359276424
2025-10-21T12:42:11.095,12.48,0.4397196417094791,0.7041529843753798,1.0357373538633128,0.9724503741019875,1.0906269213202153,3.3134614020126274,1.7002703147456948,2.1970038501546387,1.9335178638720263,0.8711165462378921,1.2402676544637938,1.427111531198058
2025-10-21T12:42:11.905,13.48,0.4136146848298513,0.7318866739962827,1.0015848521214392,0.9404837315168368,1.0958210265156085,3.3471780394695436,1.7874311136875967,2.134522682214946,1.9299014242437236,0.8464372203408439,1.236797468384487,1.4178812679822193
2025-10-21T12:42:12.777,14.48,0.42069803980227094,0.6917661558424083,1.0448630097723282,0.920993192739513,1.0817234436717065,3.1786982523366363,1.7435472145611437,2.0123144042356325,1.7365286197328287,0.8481549824059259,1.3404983781670987,1.3041817834426601
