,R_660_940,R_660_850,R_940_850
loc_1,0.9933285301609914,0.8551583949732244,0.8609018758724534
loc_2,0.9559439733891694,0.9283559327857501,0.9711405256255661
loc_3,1.1110253200720355,0.994251371361512,0.8948953308256267
loc_4,1.1508925624870154,0.989573462193757,0.8598313121907254
loc_5,1.3281029543966267,0.9978767028654856,0.7513549304005825
loc_6,1.075473823798297,0.7671716051853196,0.7133335913986886
loc_7,0.9906439470904768,1.1963936525682086,1.2076928911563223
loc_8,0.9961871571611951,0.9332302404106704,0.9368021196640085
loc_9,0.9120383479592139,0.7433008798448302,0.8149886257612386
loc_10,0.7152419561792613,0.4822774457373678,0.6742857316615447
loc_11,0.65636971732225,0.6855706411836168,1.0444885300018043
loc_12,0.4289652879247445,0.587365575685446,1.369261318385488
