t_center_s,R_art,R_vein,rho_hat,Sa_est,Sv_est,Sa_pct,Sv_pct
1.48,2.3290235358912237,1.2697591193930653,7.4209577473957555,0.98,1.0,98.0,100.0
2.48,1.7909592719445004,1.2213829711572743,7.692516670858191,1.0,1.0,100.0,100.0
3.48,2.499477848030987,1.587391155716836,7.964075594320626,0.98,1.0,98.0,100.0
4.48,3.1893148966989857,1.738888399616972,10.162100436862406,0.98,1.0,98.0,100.0
5.48,5.398079670661561,2.0782991858653266,12.91174880970852,0.9398503840486617,1.0,93.98503840486617,100.0
6.48,4.052275715742992,1.0146026007487794,14.45166743727786,0.9931842547688162,1.0,99.31842547688163,100.0
7.48,4.799761978900237,0.8996128552524597,14.45166743727786,0.9728558587347744,1.0,97.28558587347744,100.0
8.48,4.535570035566457,0.9481178085805112,12.91174880970852,0.9654195258922661,1.0,96.54195258922661,100.0
9.48,3.900762404585908,1.1863026560318932,12.428982593336006,0.98,1.0,98.0,100.0
10.48,3.3708417761155225,1.2192756911569724,12.428982593336006,0.9968352067777775,1.0,99.68352067777775,100.0
11.48,3.4597836434979654,1.2527012634504437,12.428982593336006,0.9939924858100598,1.0,99.39924858100598,100.0
12.48,4.57921599298166,1.2296202009335382,11.828715955794642,0.9516251967203254,1.0,95.16251967203254,100.0
13.48,4.861482162951979,1.2295938540281441,11.828715955794642,0.9425353602039283,1.0,94.25353602039283,100.0
14.48,3.7123722837642754,1.016592318783686,11.828715955794642,0.9799999999999999,1.0,97.99999999999999,100.0
15.48,3.6325844994677348,1.108018987658227,11.697581918017457,0.9812953537709423,1.0,98.12953537709423,100.0
16.48,3.50681843364162,1.149554360012728,11.697581918017457,0.9855224206112907,1.0,98.55224206112906,100.0
17.48,3.6712166444606162,1.1850336655841318,11.697581918017457,0.98,1.0,98.0,100.0
18.48,4.163118964955503,1.201923639157909,13.264928181369674,0.9799999999999999,1.0,97.99999999999999,100.0
19.48,4.848076780281356,1.1169879399293823,15.447406343547877,0.9799999999999999,1.0,97.99999999999999,100.0
20.48,6.829749943349406,1.3605928459983787,15.447406343547877,0.930781974824825,1.0,93.07819748248251,100.0
21.48,4.858825765837141,1.368242803790077,15.447406343547877,0.9797272573244684,1.0,97.97272573244685,100.0
22.48,4.054971016541985,1.3674201675214392,12.920336835135322,0.98,1.0,98.0,100.0
23.48,2.921569177513735,1.0734745573013924,11.892834832658103,1.0,1.0,100.0,100.0
24.48,3.7324956126381417,1.0337689244664467,11.892834832658103,0.98,1.0,98.0,100.0
25.48,3.6278349431062966,1.0954274991986204,11.559354988233617,0.98,1.0,98.0,100.0
26.48,3.9594183613832956,1.2813885374715817,11.559354988233617,0.9688096266620586,1.0,96.88096266620586,100.0
27.48,3.0467670285251343,1.3992701073753184,9.7079007731846,0.98,1.0,98.0,100.0
28.48,2.6772857680162563,1.3107113379147741,9.7079007731846,0.9950165799122864,1.0,99.50165799122864,100.0
